iter	RMSE
419	83362.60345
420	83282.16484
421	82821.55211
422	82741.45359
423	82661.83659
424	82207.60472
425	82128.31776
426	81680.53659
427	81601.57515
428	81160.1681
429	81137.43107
430	81058.83397
431	80623.70661
432	80596.73588
433	80519.97046
434	80091.20239
435	79668.72998
436	79592.08182
437	79175.66951
438	79099.29689
439	78688.87189
440	78283.06803
441	78206.81025
442	78129.15901
443	77728.23688
444	77650.91052
445	77256.64666
446	77179.64895
447	77109.42222
448	77039.72266
449	77019.80515
450	76944.05762
451	76868.75833
452	76478.51633
453	76094.15393
454	76019.01467
455	75944.31609
456	75870.05357
457	75796.22272
458	75722.81928
459	75103.5381
460	75030.29322
461	74662.65895
462	74590.35737
463	74561.9935
464	74533.87868
465	74171.89819
466	74099.26246
467	74075.05729
468	74003.43725
469	73644.75663
470	73573.38865
471	73502.41876
472	73431.84363
473	73390.78869
474	73320.24852
475	73279.2127
476	73242.79666
477	73202.77681
478	73163.30764
479	73124.36563
480	73085.92909
481	72731.13954
482	72693.09033
483	72655.50928
484	72618.37924
485	72582.75476
486	72547.51539
487	72512.6477
488	72478.14173
489	72443.98694
490	72410.17352
491	72376.69235
492	72343.53489
493	72310.6932
494	72278.15984
495	72245.92785
496	72213.9907
497	72182.34226
498	72150.97677
499	72119.88879
500	72089.07321
501	72058.52519
502	72028.24017
503	71998.21379
504	71968.44196
505	71938.92075
506	71358.05168
507	71328.55632
508	71299.30625
509	71270.29803
510	71241.52837
511	71213.01956
512	71184.74164
513	71156.69181
514	71128.86671
515	71101.26459
516	71073.88314
517	70886.66331
518	70859.4424
519	70832.43726
520	70805.64587
521	70779.06576
522	70752.69309
523	70726.52716
524	70700.5667
525	70674.80932
526	70604.65593
527	70038.00586
528	70012.38954
529	69986.97211
530	69434.35132
531	69365.89914
532	69340.60517
533	69122.3896
534	69097.23278
535	69042.55866
536	68718.08523
537	68398.5785
538	68373.55397
539	68304.45309
540	67989.6605
541	67920.91944
542	67852.62093
543	67542.47059
544	67474.50845
545	67397.02624
546	67329.85652
547	67259.70158
548	67193.26261
549	67127.22045
550	67061.56753
551	66755.44876
552	66685.29918
553	66383.61789
554	66314.99389
555	66245.69026
556	65948.27562
557	65880.39681
558	65587.44966
559	65523.03174
560	65457.03957
561	65168.40838
562	64979.79825
563	64916.88711
564	64853.98222
565	64791.49814
566	64756.49613
567	64694.22188
568	64631.58487
569	64570.17496
570	64505.25246
571	64461.60202
572	64397.24105
573	64110.40569
574	63832.33031
575	63771.9773
576	63708.20535
577	63641.74257
578	63367.49613
579	63308.09699
580	63249.05836
581	62978.87256
582	62920.09393
583	62862.17004
584	62739.8832
585	62677.67376
586	62619.71713
587	62558.19042
588	62428.02738
589	62366.72692
590	62311.07044
591	62268.12891
592	62005.0577
593	61949.76389
594	61893.21802
595	61836.99675
596	61781.09579
597	61726.33702
598	61345.5066
599	61091.48188
600	61035.93604
601	60982.36217
602	60925.1269
603	60864.48103
604	60811.14994
605	60758.58718
606	60704.60794
607	60651.26635
608	60599.2016
609	60547.20295
610	60497.41267
611	60246.09567
612	60215.91919
613	60167.63423
614	60119.67683
615	60068.5874
616	60022.2417
617	59774.15421
618	59723.48992
619	59677.48491
620	59566.13947
621	59520.34822
622	59474.80877
623	59427.00531
624	59379.43762
625	59136.25492
626	59091.25971
627	59046.5076
628	59002.05439
629	58885.84332
630	58836.41111
631	58786.7818
632	58692.64502
633	58648.72873
634	58598.04781
635	58554.60326
636	58447.98058
637	58398.56228
638	58349.86953
639	58242.73668
640	58193.71318
641	58087.97472
642	58019.63017
643	57965.7917
644	57855.96714
645	57803.75087
646	57701.27396
647	57594.0443
648	57487.24556
649	57439.08203
650	57389.54233
651	57341.94167
652	57299.82346
653	57219.77252
654	57168.47837
655	57083.38088
656	57041.59656
657	56990.75515
658	56944.65302
659	56900.96714
660	56857.6342
661	56814.36969
662	56764.72636
663	56680.38537
664	56627.85264
665	56563.96568
666	56521.92247
667	56475.31341
668	56428.94833
669	56332.52879
670	56286.37725
671	56191.19607
672	56144.41153
673	56111.18214
674	56065.28949
675	56023.70111
676	55978.2348
677	55925.91693
678	55833.29249
679	55780.40674
680	55688.99536
681	55643.01315
682	55581.74949
683	55541.00636
684	55451.32755
685	55406.3471
686	55357.21254
687	55296.92651
688	55237.08655
689	55188.46203
690	55129.0321
691	55052.72728
692	54994.24223
693	54959.02586
694	54918.76861
695	54874.24849
696	54788.91543
697	54731.3405
698	54683.41241
699	54609.88497
700	54565.49748
701	54518.1328
702	54420.54456
703	54373.58864
704	54291.35064
705	54254.73948
706	54208.33559
707	54137.02464
708	54106.37594
709	54050.9632
710	53983.95411
711	53957.37856
712	53911.85028
713	53882.30557
714	53827.5757
715	53783.30075
716	53722.71498
717	53697.26223
718	53647.06387
719	53622.01718
720	53592.65704
721	53542.1962
722	53517.92691
723	53463.58967
724	53436.15532
725	53386.04722
726	53319.63472
727	53266.15167
728	53242.60082
729	53219.44343
730	53193.18886
731	53143.32815
732	53116.91984
733	53028.42629
734	52961.73353
735	52933.93124
736	52920.30475
737	52906.75097
738	52840.92273
739	52814.93457
740	52762.4409
741	52710.71023
742	52670.31705
743	52656.96344
744	52605.60215
745	52565.71733
746	52552.44573
747	52527.3241
748	52499.8651
749	52475.16772
750	52451.45425
751	52402.14788
752	52378.24212
753	52332.63342
754	52305.49317
755	52241.01086
756	52213.97765
757	52184.73877
758	52155.67312
759	52091.98601
760	52068.96588
761	52039.9888
762	52017.37459
763	52001.89801
764	51951.39258
765	51936.16055
766	51921.17538
767	51892.35223
768	51854.93846
769	51699.20852
770	51692.14456
771	51663.5159
772	51635.04592
773	51443.58195
774	51421.23446
775	51392.78179
776	51364.48428
777	51336.33853
778	51300.16034
779	51218.54418
780	51203.90571
781	51191.04342
782	51169.20018
783	51165.50026
784	51161.91286
785	51147.71681
786	51135.6618
787	50945.66479
788	50942.1034
789	50909.36669
790	50905.8354
791	50773.50507
792	50770.83716
793	50734.75153
794	50693.23649
795	50690.57861
796	50642.90767
797	50601.38099
798	50597.89733
799	50556.65233
800	50521.21343
801	50480.34932
802	50445.29866
803	50410.46115
804	50406.97987
805	50366.70267
806	50363.24766
807	50328.77673
808	50293.53593
809	50259.43892
810	50255.99587
811	50252.59003
812	50250.00667
813	50247.4435
814	50242.388
815	50208.4707
816	50178.49628
817	50166.51034
818	50161.52453
819	50132.05545
820	50127.11765
821	50122.20782
822	50117.34094
823	50091.37196
